employee_id,leave_type,no_of_leaves,monthly_limit,total_leaves_taken,remaining_leaves,over_utilized,unused_leaves
3141,Sick Leave,7.5,,0,7.5,0,0
3141,Comp-Off,0,,0,0,0,0
3141,Unpaid Leaves,0,,0,0,0,0
3141,Eid-ul-Fitr (Optional),1,,0,1,0,0
3141,Eid-Ul-Zuha (Optional),1,,0,1,0,0
3141,Rakha Bandhan (Optional),1,,0,1,0,0
3141,Half Day (Comp-Off),0,,0,0,0,0
3155,Casual Leave,9,,2,7,0,0
3155,Sick Leave,7,,0,7,0,0
3155,Comp-Off,0,,0,0,0,0
3155,Unpaid Leaves,0,,5,0,0,-5
3155,Eid-ul-Fitr (Optional),1,,1,0,0,0
3155,Eid-Ul-Zuha (Optional),1,,1,0,0,0
3155,Rakha Bandhan (Optional),1,,1,0,0,0
3155,Half Day (Comp-Off),0,,0,0,0,0
3188,Comp-Off,0,,0,0,0,0
3188,Unpaid Leaves,0,,2.5,0,0,-2.5
3188,Eid-ul-Fitr (Optional),1,,1,0,0,0
3188,Eid-Ul-Zuha (Optional),1,,0,1,0,0
3188,Rakha Bandhan (Optional),1,,1,0,0,0
3188,Half Day (Comp-Off),0,,0,0,0,0
3189,Casual Leave,10,,0,10,0,0
3189,Sick Leave,8,,0,8,0,0
3189,Comp-Off,0,,0,0,0,0
3189,Unpaid Leaves,0,,0,0,0,0
3189,Eid-ul-Fitr (Optional),1,,0,1,0,0
3189,Eid-Ul-Zuha (Optional),1,,1,0,0,0
3189,Rakha Bandhan (Optional),1,,0,1,0,0
3189,Half Day (Comp-Off),0,,0,0,0,0
3270,Comp-Off,0,,0,0,0,0
3270,Unpaid Leaves,0,,14.5,0,0,-14.5
3270,Eid-ul-Fitr (Optional),0,,0,0,0,0
3270,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3270,Rakha Bandhan (Optional),0,,0,0,0,0
3270,Half Day (Comp-Off),0,,0,0,0,0
3272,Comp-Off,0,,0,0,0,0
3272,Unpaid Leaves,0,,7.5,0,0,-7.5
